player_id,player_name,year,games,goals,npg,shots,assists,yellow_cards,red_cards,position,team_name,time
8865,Ollie Watkins,2020,9,6,5,22,1,0,0,F,Aston Villa,810
675,Jack Grealish,2020,9,5,5,26,5,2,0,F M,Aston Villa,810
592,Ross Barkley,2020,6,2,2,17,1,0,0,M,Aston Villa,454
1024,Tyrone Mings,2020,9,2,2,7,1,2,0,D,Aston Villa,810
7726,Ezri Konsa Ngoyo,2020,9,2,2,7,0,0,0,D,Aston Villa,810
7721,Conor Hourihane,2020,4,1,1,5,1,0,0,M S,Aston Villa,236
7723,John McGinn,2020,9,1,1,10,4,3,0,M,Aston Villa,810
695,Bertrand Traoré,2020,7,0,0,5,1,0,0,M S,Aston Villa,147
884,Matt Targett,2020,9,0,0,3,0,3,0,D,Aston Villa,810
1053,Keinan Davis,2020,1,0,0,0,0,0,0,S,Aston Villa,24
1685,Ahmed Elmohamady,2020,3,0,0,0,0,0,0,S,Aston Villa,30
4401,Emiliano Martinez,2020,9,0,0,0,0,0,0,GK,Aston Villa,810
5612,Anwar El Ghazi,2020,3,0,0,0,0,0,0,S,Aston Villa,31
6122,Douglas Luiz,2020,9,0,0,8,1,2,0,M,Aston Villa,789
7722,Trézéguet,2020,9,0,0,22,1,0,0,F M S,Aston Villa,735
8040,Marvelous Nakamba,2020,2,0,0,1,0,1,0,S,Aston Villa,8
8864,Matthew Cash,2020,9,0,0,2,1,4,0,D,Aston Villa,780
8941,Jacob Ramsey,2020,1,0,0,0,0,0,0,S,Aston Villa,9
5555,Dominic Calvert-Lewin,2020,11,11,11,36,0,1,0,F,Everton,973
2249,James Rodríguez,2020,10,3,3,22,3,1,0,F,Everton,861
1653,Michael Keane,2020,11,2,2,5,0,0,0,D,Everton,990
1726,Abdoulaye Doucouré,2020,11,1,1,10,1,3,0,M,Everton,922
6026,Richarlison,2020,8,1,0,25,3,1,1,F,Everton,642
6521,Yerry Mina,2020,9,1,1,3,0,1,0,D,Everton,810
7063,Bernard,2020,4,1,1,2,0,1,0,F S,Everton,168
500,Alex Iwobi,2020,10,0,0,2,1,0,0,D F S,Everton,420
503,Theo Walcott,2020,1,0,0,0,0,0,0,S,Everton,10
585,Seamus Coleman,2020,6,0,0,2,1,0,0,D,Everton,450
714,Gylfi Sigurdsson,2020,10,0,0,8,1,0,0,M S,Everton,396
741,Jordan Pickford,2020,10,0,0,0,0,0,0,GK,Everton,900
876,Fabian Delph,2020,5,0,0,1,0,0,0,D M S,Everton,206
985,Mason Holgate,2020,2,0,0,1,0,1,0,D,Everton,174
1042,Tom Davies,2020,5,0,0,0,0,0,0,D M S,Everton,169
